incident_id,timestamp,service,region,severity,metric_type,metric_value,description,action_taken,resolution_time_minutes
I00001,01-01-2026 00:00,Search,North,Critical,CPU,381.59,Auto generated incident log,Rolled back deployment,105
I00002,01-01-2026 01:00,Billing,South,Medium,Latency,915.89,Auto generated incident log,Rolled back deployment,67
I00003,01-01-2026 02:00,Payment,North,Low,CPU,69.25,Auto generated incident log,Optimized queries,102
I00004,01-01-2026 03:00,Auth,West,Low,CPU,507.42,Auto generated incident log,Increased cache,110
I00005,01-01-2026 04:00,Search,West,Medium,CPU,841.59,Auto generated incident log,Increased cache,104
I00006,01-01-2026 05:00,Payment,East,Medium,Throughput,854.4,Auto generated incident log,Optimized queries,17
I00007,01-01-2026 06:00,Payment,North,Low,CPU,514.23,Auto generated incident log,Restarted service,52
I00008,01-01-2026 07:00,Auth,South,Low,CPU,71.26,Auto generated incident log,Increased cache,20
I00009,01-01-2026 08:00,Billing,East,High,CPU,156.48,Auto generated incident log,Restarted service,9
I00010,01-01-2026 09:00,Billing,South,Low,Throughput,93.67,Auto generated incident log,Scaled up instances,109
I00011,01-01-2026 10:00,Auth,North,Low,Latency,676.52,Auto generated incident log,Rolled back deployment,119
I00012,01-01-2026 11:00,Orders,West,Low,CPU,640.35,Auto generated incident log,Scaled up instances,73
I00013,01-01-2026 12:00,Billing,North,Medium,ErrorRate,104.91,Auto generated incident log,Optimized queries,84
I00014,01-01-2026 13:00,Orders,East,Medium,Memory,891.67,Auto generated incident log,Optimized queries,33
I00015,01-01-2026 14:00,Billing,North,High,Throughput,487.99,Auto generated incident log,Optimized queries,102
I00016,01-01-2026 15:00,Search,West,High,Memory,444.08,Auto generated incident log,Optimized queries,22
I00017,01-01-2026 16:00,Billing,North,Medium,ErrorRate,660.46,Auto generated incident log,Optimized queries,16
I00018,01-01-2026 17:00,Orders,West,High,Latency,979.98,Auto generated incident log,Optimized queries,13
I00019,01-01-2026 18:00,Billing,North,Low,Throughput,317.95,Auto generated incident log,Increased cache,42
I00020,01-01-2026 19:00,Orders,West,Low,Latency,806.19,Auto generated incident log,Restarted service,43
I00021,01-01-2026 20:00,Billing,South,Low,Memory,246.92,Auto generated incident log,Scaled up instances,65
I00022,01-01-2026 21:00,Auth,West,High,Throughput,123.35,Auto generated incident log,Rolled back deployment,102
I00023,01-01-2026 22:00,Auth,West,High,Latency,980.15,Auto generated incident log,Optimized queries,71
I00024,01-01-2026 23:00,Payment,North,High,Memory,835.69,Auto generated incident log,Increased cache,62
I00025,02-01-2026 00:00,Auth,West,Low,Memory,38.13,Auto generated incident log,Optimized queries,76
I00026,02-01-2026 01:00,Auth,North,Medium,Latency,451.72,Auto generated incident log,Optimized queries,75
I00027,02-01-2026 02:00,Auth,North,Medium,ErrorRate,879.63,Auto generated incident log,Rolled back deployment,95
I00028,02-01-2026 03:00,Auth,North,Medium,Latency,316.31,Auto generated incident log,Optimized queries,91
I00029,02-01-2026 04:00,Payment,North,Low,Throughput,911.67,Auto generated incident log,Restarted service,42
I00030,02-01-2026 05:00,Billing,East,Low,Throughput,872.04,Auto generated incident log,Optimized queries,95
I00031,02-01-2026 06:00,Auth,South,Low,Memory,428.85,Auto generated incident log,Increased cache,75
I00032,02-01-2026 07:00,Payment,East,Low,Latency,276.32,Auto generated incident log,Optimized queries,50
I00033,02-01-2026 08:00,Payment,West,High,Memory,857.34,Auto generated incident log,Scaled up instances,29
I00034,02-01-2026 09:00,Search,North,Low,Memory,356.85,Auto generated incident log,Optimized queries,118
I00035,02-01-2026 10:00,Orders,East,Medium,ErrorRate,584.95,Auto generated incident log,Rolled back deployment,7
I00036,02-01-2026 11:00,Auth,West,Medium,Latency,872.96,Auto generated incident log,Optimized queries,32
I00037,02-01-2026 12:00,Payment,South,Low,Memory,26.3,Auto generated incident log,Increased cache,49
I00038,02-01-2026 13:00,Search,North,Medium,Memory,820.87,Auto generated incident log,Optimized queries,75
I00039,02-01-2026 14:00,Auth,South,Low,Throughput,270.29,Auto generated incident log,Rolled back deployment,21
I00040,02-01-2026 15:00,Auth,South,Low,Throughput,138.51,Auto generated incident log,Optimized queries,96
I00041,02-01-2026 16:00,Search,South,High,CPU,635.52,Auto generated incident log,Scaled up instances,90
I00042,02-01-2026 17:00,Billing,East,Low,Throughput,293.13,Auto generated incident log,Rolled back deployment,94
I00043,02-01-2026 18:00,Payment,North,Low,CPU,973.23,Auto generated incident log,Scaled up instances,20
I00044,02-01-2026 19:00,Auth,South,Critical,Throughput,664.43,Auto generated incident log,Scaled up instances,18
I00045,02-01-2026 20:00,Search,South,Low,Latency,713.05,Auto generated incident log,Restarted service,61
I00046,02-01-2026 21:00,Billing,East,Medium,Latency,318.9,Auto generated incident log,Increased cache,21
I00047,02-01-2026 22:00,Orders,North,Low,ErrorRate,421.08,Auto generated incident log,Scaled up instances,86
I00048,02-01-2026 23:00,Billing,South,Low,ErrorRate,729.03,Auto generated incident log,Restarted service,64
I00049,03-01-2026 00:00,Payment,South,Low,CPU,951.58,Auto generated incident log,Scaled up instances,26
I00050,03-01-2026 01:00,Search,North,High,Throughput,450.16,Auto generated incident log,Rolled back deployment,49
I00051,03-01-2026 02:00,Auth,East,High,Latency,77.17,Auto generated incident log,Scaled up instances,73
I00052,03-01-2026 03:00,Orders,South,Low,CPU,430.1,Auto generated incident log,Optimized queries,104
I00053,03-01-2026 04:00,Payment,East,Low,ErrorRate,67.21,Auto generated incident log,Restarted service,81
I00054,03-01-2026 05:00,Billing,North,Medium,Throughput,904.39,Auto generated incident log,Scaled up instances,12
I00055,03-01-2026 06:00,Auth,North,High,Memory,999.58,Auto generated incident log,Increased cache,73
I00056,03-01-2026 07:00,Orders,South,High,ErrorRate,304.32,Auto generated incident log,Restarted service,46
I00057,03-01-2026 08:00,Orders,West,Low,CPU,450.56,Auto generated incident log,Optimized queries,84
I00058,03-01-2026 09:00,Auth,North,Medium,Memory,225.46,Auto generated incident log,Restarted service,51
I00059,03-01-2026 10:00,Payment,West,High,Memory,269.51,Auto generated incident log,Scaled up instances,45
I00060,03-01-2026 11:00,Auth,West,Medium,Throughput,38.28,Auto generated incident log,Rolled back deployment,66
I00061,03-01-2026 12:00,Search,South,Medium,Latency,443.04,Auto generated incident log,Rolled back deployment,105
I00062,03-01-2026 13:00,Billing,North,Low,Throughput,18.57,Auto generated incident log,Optimized queries,115
I00063,03-01-2026 14:00,Search,West,Medium,Throughput,848.87,Auto generated incident log,Scaled up instances,39
I00064,03-01-2026 15:00,Auth,South,Low,Throughput,525.28,Auto generated incident log,Scaled up instances,80
I00065,03-01-2026 16:00,Search,South,Low,Throughput,519.37,Auto generated incident log,Rolled back deployment,84
I00066,03-01-2026 17:00,Payment,North,Medium,CPU,993.98,Auto generated incident log,Optimized queries,42
I00067,03-01-2026 18:00,Payment,North,Medium,ErrorRate,892.81,Auto generated incident log,Rolled back deployment,51
I00068,03-01-2026 19:00,Orders,East,Critical,Throughput,211.37,Auto generated incident log,Rolled back deployment,56
I00069,03-01-2026 20:00,Orders,North,Low,Latency,209.01,Auto generated incident log,Increased cache,116
I00070,03-01-2026 21:00,Auth,East,Medium,Latency,539.18,Auto generated incident log,Increased cache,96
I00071,03-01-2026 22:00,Search,East,High,CPU,626.93,Auto generated incident log,Increased cache,68
I00072,03-01-2026 23:00,Billing,South,Medium,Latency,877.29,Auto generated incident log,Optimized queries,61
I00073,04-01-2026 00:00,Orders,West,High,Memory,216.6,Auto generated incident log,Optimized queries,59
I00074,04-01-2026 01:00,Payment,South,Low,ErrorRate,38.72,Auto generated incident log,Rolled back deployment,7
I00075,04-01-2026 02:00,Payment,South,High,Latency,36.6,Auto generated incident log,Scaled up instances,30
I00076,04-01-2026 03:00,Auth,South,Low,Throughput,508.45,Auto generated incident log,Restarted service,67
I00077,04-01-2026 04:00,Auth,South,Medium,CPU,71.46,Auto generated incident log,Scaled up instances,34
I00078,04-01-2026 05:00,Search,South,Low,ErrorRate,195.04,Auto generated incident log,Scaled up instances,97
I00079,04-01-2026 06:00,Payment,West,Medium,Latency,18.37,Auto generated incident log,Rolled back deployment,55
I00080,04-01-2026 07:00,Payment,North,High,Throughput,353.84,Auto generated incident log,Restarted service,92
I00081,04-01-2026 08:00,Billing,West,Medium,Throughput,756.23,Auto generated incident log,Optimized queries,59
I00082,04-01-2026 09:00,Orders,West,Low,ErrorRate,844.4,Auto generated incident log,Restarted service,56
I00083,04-01-2026 10:00,Billing,West,Low,CPU,531.53,Auto generated incident log,Optimized queries,48
I00084,04-01-2026 11:00,Search,West,Low,Latency,652.89,Auto generated incident log,Scaled up instances,13
I00085,04-01-2026 12:00,Search,West,Medium,Throughput,523.92,Auto generated incident log,Rolled back deployment,87
I00086,04-01-2026 13:00,Payment,South,Medium,Throughput,608.11,Auto generated incident log,Restarted service,17
I00087,04-01-2026 14:00,Search,North,Low,Latency,705.61,Auto generated incident log,Restarted service,99
I00088,04-01-2026 15:00,Billing,West,Low,ErrorRate,240.87,Auto generated incident log,Optimized queries,111
I00089,04-01-2026 16:00,Search,West,Critical,Latency,928.46,Auto generated incident log,Rolled back deployment,90
I00090,04-01-2026 17:00,Billing,North,Low,Memory,392.59,Auto generated incident log,Rolled back deployment,34
I00091,04-01-2026 18:00,Billing,South,Medium,Latency,748.19,Auto generated incident log,Rolled back deployment,105
I00092,04-01-2026 19:00,Billing,East,Medium,Latency,60.41,Auto generated incident log,Restarted service,74
I00093,04-01-2026 20:00,Auth,East,High,Latency,967.62,Auto generated incident log,Rolled back deployment,73
I00094,04-01-2026 21:00,Payment,West,Low,CPU,999.39,Auto generated incident log,Rolled back deployment,35
I00095,04-01-2026 22:00,Billing,South,Low,Throughput,808.29,Auto generated incident log,Scaled up instances,38
I00096,04-01-2026 23:00,Orders,South,Critical,Memory,291.36,Auto generated incident log,Restarted service,37
I00097,05-01-2026 00:00,Payment,East,Low,CPU,5.22,Auto generated incident log,Increased cache,67
I00098,05-01-2026 01:00,Orders,North,High,CPU,757.36,Auto generated incident log,Scaled up instances,89
I00099,05-01-2026 02:00,Billing,West,High,ErrorRate,276.83,Auto generated incident log,Rolled back deployment,10
I00100,05-01-2026 03:00,Auth,North,Medium,ErrorRate,12.55,Auto generated incident log,Optimized queries,46
I00101,05-01-2026 04:00,Auth,North,Low,CPU,785.33,Auto generated incident log,Restarted service,28
I00102,05-01-2026 05:00,Payment,West,High,Throughput,517.92,Auto generated incident log,Increased cache,92
I00103,05-01-2026 06:00,Orders,West,High,Throughput,929.04,Auto generated incident log,Rolled back deployment,21
I00104,05-01-2026 07:00,Billing,West,Medium,CPU,280.11,Auto generated incident log,Increased cache,93
I00105,05-01-2026 08:00,Billing,North,Medium,CPU,184.78,Auto generated incident log,Rolled back deployment,22
